source	target	notes
灵气	qi|spiritual qi	lowercase; provenance terminology.tsv
灵石	spirit stone	provenance terminology.tsv
遁光	escape light	一道遁光 = "a streak of escape light"; provenance terminology.tsv
一心	One Mind|One Heart	"the One Mind" only for the World-Honored One / Pure Land concept; the Outer Path Alliance's 一心 is "One Heart"; ordinary adverbial 一心 means wholeheartedly or with one's full attention [except: 一心逃遁|一心只想着]; provenance terminology.tsv
妙乐	Sublime Bliss	the Spell Dao Lord's eldest disciple; true body is Taiyi; locked Ch. 1186; provenance terminology.tsv
剑君	Sword Sovereign	same being as 剑主/剑尊; provenance terminology.tsv; pronoun words follow chapter-scoped entities.tsv and Reference_Formatting_Rules.md
法术道主	Spell Dao Lord	usually takes 'the'; provenance terminology.tsv
法力道主	Spiritual Power Dao Lord	a distinct Dao Lord who aids the Spell Dao Lord; usually takes 'the'; provenance terminology.tsv
法力	spiritual power|Spiritual Power	Lowercase the cultivator's usable power; capitalize Spiritual Power when naming the cultivation foundation or Dao category. Owner-final Ch.1293 confirms the named Three Foundations context.
因果大网	Great Net of Karma	normally takes the definite article; provenance owner-rulings-ch1260.tsv
城头土	Rampart Earth	True Monarch; a bare 【城头土】 call-out renders plain per Reference_Formatting_Rules.md (inline call-outs); provenance terminology.tsv
大剑宗	Grand Sword Patriarch	a person, not a sect; usually takes 'the'; provenance terminology.tsv
天地不容客	A Guest Rejected by Heaven and Earth	owner-final Ch.1267 reuse of the established talent name; provenance owner-rulings-ch1267.tsv
制命革	Fate-Reforming	God-Sealing ability; provenance terminology.tsv
踏天	Treading the Heavens	realm; provenance terminology.tsv
大真君	Great True Monarch	踏天大真君 = Treading the Heavens Great True Monarch (word order per Ch. 1147); owner Ch.1355 also prefers this compact order for 踏天境的大真君. Preserve other source ranks and contextual syntax; provenance terminology.tsv
正史	True History	capitalized; pairs with the False History; usually takes 'the'; provenance terminology.tsv
玄妙	Mystery|Mysteries	number follows the raw for the cultivation concept; adjectival 步法玄妙 is subtle footwork in owner-final Ch.1290, not a named Mystery [except: 步法玄妙|玄妙威能]; provenance terminology.tsv and owner-final Ch.1290; owner Ch.1413 and Ch.1415 use plural Mysteries for the resource a cultivator has or waters with; singular only for one named Mystery; owner Ch.1418: attributive 玄妙威能 is profound might
天宫	Heavenly Palace	with 'the' (Ch. 1196 ruling); provenance terminology.tsv
位格	status	lowercase except at sentence start; the legacy phrase 踏天境的高位格 was translated compositionally [except: 踏天境的高位格]; provenance terminology.tsv
现世	mortal world	owner-final Ch.1276; preferred default for the inhabited present; reserve real world for contexts that explicitly contrast reality with illusion or False History; when used verbally it means manifest or appear [except: 再度现世|刚刚现世|重现世间]; Ch.1295 confirms the verbal use in 刚刚现世; provenance owner-rulings-ch1276.tsv
仙桥	Immortal Bridge	provenance terminology.tsv
改因易果	altering cause and changing effect|alteration of cause and transformation of effect	verbal form when used as an action; provenance terminology.tsv
伟力	mighty power|real power	Use mighty power for positive transcendent or cosmological force; real power is approved in negative degree descriptions such as a gaze carrying little real power; owner-final Ch.1284 [except: 无穷伟力|降世的伟力|排山倒海的伟力]; 降世的伟力 = 'the might of their descent' (owner Ch.1210); 排山倒海的伟力 permits 'an overwhelming power' with the mountain-and-sea image retained (owner Ch.1295). Neither compound changes the default for bare 伟力.
洞天	Grotto-Heaven	CAPITALIZED, owner ruling 2026-08-19; provenance terminology.tsv
仙枢	Immortal Pivot	usually takes 'the'; what this world / Boundary Heaven is called; provenance terminology.tsv
成道隐玄府	Achieving Dao Hidden Profound Manor	Skyward's grotto-heaven manor; provenance terminology.tsv
曲直	Crooked and Straight	provenance terminology.tsv
空证	Empty Attainment	Prefer the attributive construction Empty Attainment Dao or Empty Attainment Great Dao; owner Ch.1292 revises four Daos of Empty Attainment to four Empty Attainment Daos. The of-form remains grammatical where context needs it.
大林木	Great Forest Wood	provenance terminology.tsv
山头火	Mountaintop Fire	Lü Yang's True Monarch identity in the False History; provenance terminology.tsv
知见障	Cognitive Barrier	provenance terminology.tsv
神尚飨	Divine Offerings	God-Sealing Method lineage; provenance terminology.tsv
香火	incense	provenance terminology.tsv
封神法	God-Sealing Method	usually takes 'the'; provenance terminology.tsv; roman, a method not a work (owner 2026-09-24)
天公	Heavenly Lord	仙枢的天公 = 'Immortal Pivot's Heavenly Lord'; pronoun it/itself; provenance terminology.tsv
慧光	wisdom light	always lowercase except sentence start; provenance terminology.tsv
圣宗	Saint Sect	provenance terminology.tsv
剑阁	Sword Pavilion	provenance terminology.tsv
极天崖	Extreme Heaven Cliff	provenance terminology.tsv
江南	Jiangnan	provenance terminology.tsv
江东	Jiangdong	provenance terminology.tsv
气机	aura	provenance terminology.tsv
道统	Dao Lineage	provenance terminology.tsv
界天	Boundary Heaven	小界天 = 'a small Boundary Heaven'; provenance terminology.tsv
入道	Entering the Dao	realm; provenance terminology.tsv; verified Ch.1310-1318 ordinary or cross-word contexts [except: 只求入道]
合道	Merging with the Dao	realm; 'Dao Integration' only for the Overseas Immortal Alliance [except: 配合道行]; provenance terminology.tsv
古修	ancient cultivator	owner-approved 2026-08-19; provenance terminology.tsv
琉璃	glazed	owner-approved 2026-08-19; 琉璃小球 = 'glazed sphere'; provenance terminology.tsv
道行	Dao Attainment	道行 = Dao Attainment; 修为 = cultivation - two distinct terms (owner clarification 2026-08-19); provenance terminology.tsv
意象	imagery	owner edit Ch. 1209; provenance terminology.tsv
维度	dimension	owner edit Ch. 1209; provenance terminology.tsv
真君中期	mid-stage True Monarch	owner edit Ch. 1209; provenance terminology.tsv
无穷伟力	boundless power|power was boundless	owner edit Ch. 1209; overrides bare 伟力 in this collocation; provenance terminology.tsv
修为	cultivation	distinct from 道行 = Dao Attainment (owner clarification 2026-08-19); provenance terminology.tsv
法光	dharma light	owner edit Ch. 1210; not 'law-light'; provenance terminology.tsv
混沌	Primordial Chaos	capitalize; provenance owner-rulings-ch1221-ch1243.tsv; owner Ch.1412 applies it to the Ancestral Dragon's sea-of-consciousness haze (the light and shadow of Primordial Chaos); a bare anaphoric the chaos may follow
天赋	talent|Talent	lowercase talent in prose; Talent only inside approved system displays (tier + Talent, Unique Talent, the Talents: field) per Reference_Talents_and_Hundred_Lives.md; owner ruling 2026-09-24
听幽祖师	Nether Whisper Ancestor	normally takes the definite article in running prose; provenance owner-rulings-ch1221-ch1243.tsv
龙君	Dragon Monarch	named individual Dragon Monarch titles normally take "the" in running prose; owner final Ch. 1222; provenance owner-rulings-ch1221-ch1243.tsv
沧江龙君	Cangjiang Dragon Monarch	normally "the Cangjiang Dragon Monarch" in running prose; owner final Ch. 1222; provenance terminology.tsv
雨肇龙君	Yuzhao Dragon Monarch	normally "the Yuzhao Dragon Monarch" in running prose; owner final Ch. 1222; provenance terminology.tsv
云汉仙	Celestial River Immortal	owner-approved Ch. 1221; provenance terminology.tsv
淮河龙君	Huai River Dragon Monarch	normally "the Huai River Dragon Monarch" in running prose; owner final Ch. 1222; provenance terminology.tsv
五行之水	Water among the Five Elements	established rendering; owner-approved Ch. 1221; provenance terminology.tsv
老龙君	Old Dragon Monarch	normally "the Old Dragon Monarch" in running prose; owner final Ch. 1222; provenance terminology.tsv
不涸川	Never-Drying River	owner correction Ch. 1221; provenance owner-rulings-ch1221-ch1243.tsv
神位	Divine Rank	established Ch. 1166 ruling; provenance terminology.tsv
白玉京	White Jade Capital	owner-approved Ch. 1221; provenance terminology.tsv
纲纪万象泰定神位	Divine Position of Ordering the Myriad Phenomena in Grand Stability	established rendering; owner-approved Ch. 1221; provenance terminology.tsv
鬼差	Ghost Constables	owner-approved Ch. 1221; provenance terminology.tsv
罗刹	Rakshasas	owner-approved Ch. 1221; provenance terminology.tsv
黑白无常	Black and White Impermanence	owner-approved Ch. 1221; provenance terminology.tsv
文武判官	Civil and Martial Judges	owner-approved Ch. 1221; provenance terminology.tsv
牛头马面	Ox-Head and Horse-Face	owner-approved Ch. 1221; provenance terminology.tsv
日夜游神	Day and Night Wandering Gods	owner-approved Ch. 1221; provenance terminology.tsv
巫鬼道	Shamanic Ghost Dao	established rendering; owner-approved Ch. 1221; provenance terminology.tsv
掌中天	Heaven in a Palm	established rendering; owner-approved Ch. 1221; provenance terminology.tsv; Heaven Within a Palm (manuscript Ch. 1024-1090) is historical; Heaven in a Palm is current (owner 2026-09-24)
曲涧龙君	Qujian Dragon Monarch	normally "the Qujian Dragon Monarch" in running prose; owner final Ch. 1222; provenance terminology.tsv
荡魔真人	Demon-Purging True Person	bare proper title in normal narration; never "the Demon-Purging True Person"; owner final Ch. 1222; provenance owner-rulings-ch1221-ch1243.tsv
神念	divine sense	cultivator's perceptive faculty; never divine thoughts when the faculty is meant; provenance owner-rulings-ch1276.tsv; verified Ch.1310-1318 ordinary or cross-word contexts [except: 心神念头]
识念	consciousness	technical separated consciousness; distinct from 神念 = divine sense; provenance Ch.1266
御极司命真君	True Monarch Sovereign of Fate	owner-final Ch.1255; use full title in formal reference; provenance owner-rulings-ch1255.tsv
天上火	Heavenly Fire	verified Fruition Attainment rendering; provenance owner-rulings-ch1221-ch1243.tsv
剑锋金	Sword Edge Metal	no hyphen; owner-final Ch.1279; provenance owner-rulings-ch1279.tsv
大海水	Great Ocean Water	owner-final Ch.1278; Supreme Water Element Fruition Attainment; provenance owner-rulings-ch1278.tsv
滴天髓	Drop of Heaven's Essence	owner correction before Ch. 1248; supersedes the erroneous Dripping Heaven's Marrow rendering; provenance owner-rulings-ch1221-ch1243.tsv
尘劫海	Sea of Dust and Tribulation	takes the definite article; provenance owner-rulings-ch1276.tsv
道音	Dao resonance	owner-final Ch.1278, reaffirmed by owner-final Ch.1290; supersedes Dao voice in the older attachment; provenance owner-rulings-ch1278.tsv and live Ch.1290 owner revision
光铸	forged from light	Default forged from light; owner Ch. 1358 P59 retained forged from radiance as a local exception (decision 2026-09-20). Preserve the material and construction; 光铸的双手 retains its separate fixed rendering.
法力道	Spiritual Power Dao	owner-final Ch.1278; Du Xuan's Great Dao; provenance owner-rulings-ch1278.tsv
法术道	Spell Dao	owner-final Ch.1278; the Great Dao of Myriad Spells; provenance owner-rulings-ch1278.tsv
天地灵机	spiritual qi of heaven and earth	owner-final Ch.1278; the ambient power Lü Yang commands as the Sea of Light; provenance owner-rulings-ch1278.tsv
五行至尊果位	Supreme Fruition Attainments of the Five Elements	owner-final Ch.1278 collective term; provenance owner-rulings-ch1278.tsv
拳印	fist seal	owner-final Ch.1278; provenance owner-rulings-ch1278.tsv
彼岸碎片	fragment of the Other Shore	owner-final Ch.1278; provenance owner-rulings-ch1278.tsv
虚瞑	Fathomless Void	established cosmological rendering; provenance owner-rulings-ch1221-ch1243.tsv
法身	Dharma Body|dharma body	Dharma Body names the cultivation foundation (owner-final Ch.1279). Owner Ch.1332 uses dharma body for Vast Sky's embodied form; apply this contextual casing, not a blanket change to the named foundation or Dharma Body Dao.
法身道	Dharma Body Dao	Great Dao governed by Si Sui; owner-final Ch.1279; provenance terminology.tsv
阴阳	Yin and Yang	standalone paired cosmological forces; use Yin-Yang in established attributive compounds; provenance terminology.tsv
五天数	Five Heavenly Numbers	established verified rendering; provenance owner-rulings-ch1221-ch1243.tsv
五大天数	Five Heavenly Numbers	variant source form; owner-final Ch.1279; provenance terminology.tsv
天人残识	Heavenly Person's Remnant Consciousness|Heavenly Person's Remnant Consciousnesses	singular is the default established name, including generic access; use plural only for multiple realms referred to together. Explicit owner correction before Ch.1343; preserves earlier singular wording and contextual plural.
甲子荡魔	sixty-year purge of demons|purging demons for sixty years	noun event or verbal syntax follows context; provenance owner-rulings-ch1279.tsv
宝命全形经	Treasured Life Perfect Form Scripture	owner-final Ch.1279; provenance owner-rulings-ch1279.tsv
命运长河	River of Fate	owner-final Ch.1279; provenance owner-rulings-ch1279.tsv
道争	Dao Struggle|contest over the Dao|struggle over the Dao	Use Dao Struggle for a specific treated-as-named confrontation, including the Chapter 1280 title and the Ch.1284 recollection; use contextual phrases for ordinary conflict or debate; provenance Ch.1279-1280 and owner-final Ch.1284 Owner Ch.1417 prefers Dao Struggle in speech.
神意	divine will	owner-final Ch.1279; replaces the looser "divine intent"; provenance owner-rulings-ch1279.tsv
天意	Heaven's Will	owner-final Ch.1279; distinct from the physical heavens; provenance owner-rulings-ch1279.tsv
诛天剑	Heaven-Slayer	Sanhe's sacrificed sword wielded by Lü Yang; owner-final Ch.1273 and reaffirmed Ch.1279; provenance terminology.tsv
大道之血	blood of the Great Dao	owner-final Ch.1279; preserve the Heavenly River comparison in the full sentence; provenance owner-rulings-ch1279.tsv
天河	Heavenly River	capitalized mythic-cosmological river image; owner-final Ch.1279; provenance terminology.tsv
真传	true inheritance	owner-final Ch.1279; prefer cultivation-lineage language to the generic "true teachings"; provenance owner-rulings-ch1279.tsv
叁合	Sanhe	owner-final Ch.1280; reaffirms the Grand Sword Patriarch's true name; provenance owner-rulings-ch1280.tsv
念瑶	Nian Yao	owner-final Ch.1280; the Sword Sovereign's personal name; provenance owner-rulings-ch1280.tsv; pronoun words follow chapter-scoped entities.tsv and Reference_Formatting_Rules.md
修真道主	Cultivating Truth Dao Lord	owner-final Ch.1280; ordinary pronouns apply; provenance owner-rulings-ch1280.tsv; explicit Ch.1315 owner ruling: retain Dao Lord only when the source includes 道主; bare 修真 is Cultivating Truth
八极	eight poles	cosmological extremities; use "the eight poles of the world" in the Ch.1280 construction; provenance terminology.tsv
伐天	March on Heaven	formal event; retrospective combat phrasing belongs in phrase memory; provenance owner-rulings-ch1257.tsv
东流尊	Lord of the Eastern Flow	owner confirmation Ch. 1223; provenance owner-rulings-ch1221-ch1243.tsv
天地根	Foundation of Heaven and Earth	owner confirmation Ch. 1223; provenance owner-rulings-ch1221-ch1243.tsv
资同饮	Shared Nourishment	owner correction Ch. 1223; provenance owner-rulings-ch1221-ch1243.tsv
涧下水	Valley Water	established verified rendering; provenance owner-rulings-ch1221-ch1243.tsv
皆斩剑意	All-Slaying Sword Intent	established verified rendering; provenance owner-rulings-ch1221-ch1243.tsv
至人	Perfected Person	Ch. 1223 sword intent and chapter title; provenance owner-rulings-ch1221-ch1243.tsv
阳湖龙君	Yanghu Dragon Monarch	use "the Yanghu Dragon Monarch" in normal running prose; owner correction Ch. 1223; provenance owner-rulings-ch1221-ch1243.tsv
阴阳旁门	unorthodox path to Yin and Yang	same concept with reversed Chinese word order; provenance owner-rulings-ch1221-ch1243.tsv
万众一心	One Mind	Use the One Mind in definite references to the World-Honored One's method, including I have the One Mind. Article still follows syntax; owner-final Ch.1301 clarifies the existing 一心 ruling; provenance owner-rulings-ch1221-ch1243.tsv
定数	Destiny	owner correction Ch. 1228; never "Fixed Outcome"; provenance owner-rulings-ch1221-ch1243.tsv
化神飞升	Divine Transformation and Ascension	established rendering; provenance owner-rulings-ch1221-ch1243.tsv
宝光萤煌菩萨	Treasure Light Gleaming Radiance Bodhisattva	established rendering; provenance owner-rulings-ch1221-ch1243.tsv
碧落扶光真君	True Monarch Azure Firmament	established identity of the Ancestral Dragon; provenance owner-rulings-ch1221-ch1243.tsv
丹鼎	Alchemy Cauldron	person or title; bare form where the source uses the identity; provenance owner-rulings-ch1221-ch1243.tsv
龙虎山	Dragon-Tiger Mountain	established rendering; provenance owner-rulings-ch1221-ch1243.tsv
元婴丹	Nascent Soul Pill	standalone call-out may take the definite article; provenance owner-rulings-ch1261.tsv
天心锁	Heavenly Heart Lock	established rendering; provenance owner-rulings-ch1221-ch1243.tsv
司祟残念	Si Sui's Remnant Consciousness	fixed capitalization; provenance owner-rulings-ch1221-ch1243.tsv
提线木偶	Marionette	established talent and control method; provenance owner-rulings-ch1221-ch1243.tsv
圣人	Saint	owner correction Ch. 1231; use Saint, never Sage, for Si Sui and related epithets [except: 圣人不仁]; provenance owner-rulings-ch1221-ch1243.tsv
遍历红尘法	Traversing the Mortal Dust	Si Sui's good-and-evil Primordial Spirit method in Ch. 1231 onward; provenance owner-rulings-ch1221-ch1243.tsv
真我	True Self	owner-final Ch.1266 capitalization when referring to the independent self the Heavenly Emperor could obtain; provenance owner-rulings-ch1266.tsv
天书	Heavenly Scripture	Normally takes the definite article. Explicit repeated owner correction in Ch.1303 supersedes Heavenly Book; it remains the same artifact, distinct from the Book of a Hundred Lives.
祖龙别院	Ancestral Dragon's Detached Court	normally takes the definite article; provenance owner-rulings-ch1221-ch1243.tsv
炼天兜	Lian Tiandou	first-generation Alchemy Cauldron Peak Lord; provenance owner-rulings-ch1221-ch1243.tsv
天罚	Heavenly Punishment	established rendering; Ch. 1242 title; provenance owner-rulings-ch1221-ch1243.tsv
补天缺	Bu Tianque	owner-confirmed spelling; replaces obsolete 补天阙; provenance consolidation
不杀剑意	No-Killing Sword Intent	established verified rendering; provenance owner-rulings-ch1221-ch1243.tsv
旁门阴阳	unorthodox path to Yin and Yang	exact owner correction Ch. 1226; provenance owner-rulings-ch1221-ch1243.tsv
光海圣人	Saint of the Sea of Light	Si Sui epithet; Saint, never Sage; provenance owner-rulings-ch1221-ch1243.tsv
善识	good consciousness	established Ch. 1224 onward; provenance owner-rulings-ch1221-ch1243.tsv
恶识	evil consciousness	established Ch. 1224 onward; provenance owner-rulings-ch1221-ch1243.tsv
善我	good self	established Ch. 1224 onward; provenance owner-rulings-ch1221-ch1243.tsv
恶我	evil self	established Ch. 1224 onward; provenance owner-rulings-ch1221-ch1243.tsv
司天氏	Sitian Clan	Si Sui's ancestral Dharma Body bloodline clan; provenance owner-rulings-ch1221-ch1243.tsv
齐物论	Equality of Things	established reference rendering; provenance owner-rulings-ch1221-ch1243.tsv
水行	Water Element	established elemental rendering; provenance owner-rulings-ch1221-ch1243.tsv
火行	Fire Element	established elemental rendering; provenance owner-rulings-ch1221-ch1243.tsv
覆灯火	Overturned Lamp Fire	verified Fruition Attainment rendering; provenance owner-rulings-ch1221-ch1243.tsv
霹雳火	Thunderbolt Fire	verified Fruition Attainment rendering; provenance owner-rulings-ch1221-ch1243.tsv
山下火	Molten Fire	verified Fruition Attainment rendering; provenance owner-rulings-ch1221-ch1243.tsv
炉中火	Furnace Fire	verified Fruition Attainment rendering; provenance owner-rulings-ch1221-ch1243.tsv
神霄雷	Divine Firmament Thunder	verified Fruition Attainment rendering; provenance owner-rulings-ch1221-ch1243.tsv
神君	Divine Monarch	established God-Sealing rank; provenance owner-rulings-ch1221-ch1243.tsv
天妖	heavenly demon	owner correction Ch. 1246; never celestial demon in this context; provenance owner-rulings-ch1221-ch1243.tsv
坎阳湖	Kan-Yang Lake	owner adopted this spelling in the final Chapter 1245 and revised Chapter 1246 prose; provenance owner-rulings-ch1221-ch1243.tsv
命数	Fate	distinct from 定数 = Destiny; the Sword Sovereign's river and divinatory authority in Ch. 1247; provenance owner-rulings-ch1221-ch1243.tsv
辛金	Xin-Metal	established Heavenly Stem elemental rendering; hyphenated; provenance owner-rulings-ch1221-ch1243.tsv
甲木	Jia-Wood	established Heavenly Stem elemental rendering; hyphenated; provenance owner-rulings-ch1221-ch1243.tsv
乙木	Yi-Wood	established Heavenly Stem elemental rendering; hyphenated; provenance owner-rulings-ch1221-ch1243.tsv
癸水	Gui-Water	established Heavenly Stem elemental rendering; hyphenated; provenance owner-rulings-ch1221-ch1243.tsv
巳火	Si-Fire	established Earthly Branch elemental rendering; hyphenated; provenance owner-rulings-ch1221-ch1243.tsv
辰土	Chen-Earth	established Earthly Branch elemental rendering; hyphenated; provenance owner-rulings-ch1221-ch1243.tsv
五行	Five Elements	Capitalize the elemental system. When syntax names its Dao explicitly, prefer Five Elements Dao, not Dao of the Five Elements; owner Ch.1307. Do not append Dao to every occurrence.
小友	little friend	owner correction after Ch. 1247; never young friend; provenance owner-rulings-ch1221-ch1243.tsv
大宗师	Grand Ancestral Master	bare proper name without the definite article; a place or realm among the seven Heavenly Person's Remnant Consciousnesses, named after the Zhuangzi chapter; never Grandmaster or a person/title; owner-final Ch.1283; provenance owner-rulings-ch1221-ch1243.tsv
代掌教	Acting Sect Master	formal Saint Sect office held by Chongguang; capitalize as a title; owner final Ch. 1250; provenance owner-rulings-ch1250.tsv
接天云海	Heaven-Connecting Sea of Clouds	takes the definite article; provenance owner-rulings-ch1250.tsv
圣火崖	Sacred Fire Cliff	verified world reference and owner final Ch. 1251; never Sacred Flame Cliff; provenance owner-rulings-ch1251.tsv
三十三天地纵横弈道大阵	Thirty-Three Heavens Vertical and Horizontal Go Formation	owner final Ch. 1251; preserve the Go-board logic and the vertical-and-horizontal wording; provenance owner-rulings-ch1251.tsv
昭明律	Illuminating Law	owner final Ch. 1251; provenance owner-rulings-ch1251.tsv
玄天正冠	Profound Heaven Upright Crown	owner final Ch. 1251 and verified reference rendering; provenance owner-rulings-ch1251.tsv
八不慧剑	Eight Negations Wisdom Sword	owner final Ch. 1251 and verified reference rendering; preserves the Buddhist Eight Negations allusion; provenance owner-rulings-ch1251.tsv
紫青兜率火	Purple-Azure Tushita Fire	owner final Ch. 1251 and verified reference rendering; provenance owner-rulings-ch1251.tsv
铭天章	Inscribing the Heavenly Chapter	owner final Ch. 1251 and verified reference rendering; normally takes the definite article; provenance owner-rulings-ch1251.tsv
斩监候	beheading, pending review	owner final Ch. 1253; historical execution sentence. Chapter-title form: Beheading Pending Review. In a decree use "is sentenced to beheading, pending review."; provenance owner-rulings-ch1253.tsv
仙国道律	Immortal Kingdom Daoist Law	takes the definite article; provenance owner-rulings-ch1253.tsv
符箓文字	seal script	owner final Ch. 1253 in Emperor Cang's Immortal Kingdom Daoist Law manifestation; prefer this over talismanic script in this context; provenance owner-rulings-ch1253.tsv
斩立决	Beheading, Immediate Execution	owner-final Ch.1254; formal displayed penalty under Inscribing the Heavenly Chapter, retain bold corner brackets; provenance owner-rulings-ch1254.tsv
