source	target	scope	notes
梦外的真实世界	the real world beyond the dream	image	Preserve the dream-and-reality contrast; avoid colliding with the formal term True History.
诏谕，太一兽妙乐，陛见帝廷！	Edict: Taiyi Beast Sublime Bliss, present yourself before the Imperial Court!	fixed	Formal edict; preserve the source panel formatting when applicable.
入我掌中一游	come take a tour inside the speaker's palm	image	Preserve the palm image and capture joke; adapt person and grammar.
第1262章 我其实一点也不蠢	Chapter 1262: I'm Actually Not Stupid at All	fixed	Exact chapter title; an echoed body declaration follows its own formatting.
【天】	the character for Heaven; standalone Heaven call-out	sense	Use the explanatory form in narration and the short form for a standalone call-out.
计划总是赶不上变化	No plan can ever keep pace with change.	fixed	Self-contained proverb in generic present.
入彀	fall into the trap; take the bait	sense	Use lure only in a causative construction; do not invent a snare image.
笑到最后	have or get the last laugh	sense	Adapt subject, mood, and tense.
第1263章 初圣的手段	Chapter 1263: The Primordial Saint's Methods	fixed	Exact chapter title only.
引动【劫数】	draw on, invoke, or trigger Tribulation	sense	Choose the verb from the mechanism; do not default to draw out.
庸人自扰	a fool troubling himself over nothing	sense	Use a natural self-inflicted-trouble construction; adapt pronouns.
蛛丝马迹	spider silk and hoofprints	image	Preserve both faint-trace images while building a fresh sentence.
【劫数】来了	Tribulation arrive	sense	Inflect by thought mode and chronology; do not add descent unless the source does.
饮鸩止渴	drink poisoned wine to quench thirst	image	Preserve immediate relief and later harm; adapt syntax and possessives.
第1264章 一石二鸟，阳谋！	Chapter 1264: Two Birds with One Stone, an Open Scheme!	fixed	Exact chapter title.
神龙见首不见尾	a divine dragon whose head is seen but never its tail	image	Preserve the dragon, head, tail, and elusive quality.
四两拨千斤	four ounces redirecting a thousand pounds	image	Preserve the exact weight contrast and leverage.
举重若轻	lifting a heavy burden as if it were light	image	Do not add an unsupported superlative.
易如反掌	as easy as turning over one's hand	image	Preserve the hand-turning image and adapt the possessive.
成道地	the place where the subject attained the Dao	sense	Plain compositional phrase; adapt subject and tense.
第1265章 伪史回归！	Chapter 1265: The False History Returns!	fixed	Exact chapter title; body narration follows actual chronology.
神尚飨之位	Divine Rank corresponding to Divine Offerings	sense	Supply article and syntax from context; the component terms are hard terminology.
摘桃子	pluck the peach	image	Preserve the image of taking another's completed gains; adapt referent and possessive.
改因，易果	Altering cause, changing effect!	fixed	Standalone paired action beat.
第1266章 但无能	Chapter 1266: But Incapable	fixed	Exact chapter title; do not turn it into a body-sentence template.
道是无情却有情	The Dao is without feeling, yet possesses feeling.	fixed	Preserve both halves of the classical paradox.
圣人不仁	The sage is not benevolent.	fixed	Dao De Jing allusion; the subject is the sage, not Heaven and Earth; exception to Si Sui's Saint title.
第1267章 天道的玄妙	Chapter 1267: The Mysteries of the Heavenly Dao	fixed	Exact chapter title.
镜花水月	flowers in a mirror and the moon reflected in water	image	Preserve both unattainable images and build natural surrounding syntax.
第1268章 变数现身！	Chapter 1268: The Great Dao of Variables Manifests!	fixed	Exact contextual chapter title; do not add Great Dao to ordinary occurrences.
善哉。善哉！	Excellent! Excellent!	fixed	Conventional Buddhist acclamation of praise or approval.
十万亿佛土	ten trillion Buddha-lands	fixed	Preserve the exact number and religious realm term.
聚沙成塔	grains of sand gathering into a stupa	image	Preserve the sand-to-stupa accumulation image and inflect by context.
尔等悉数应知，吾远迈先人的大功业！	All of you shall know the great deeds by which I surpassed those who came before!	fixed	Exact historical proclamation.
第1269章 元神！	Chapter 1269: Primordial Spirit!	fixed	Exact chapter title.
强扭的瓜不甜	a melon plucked by force is not sweet	image	Preserve the melon and its link to the later thirst punch line; inflect only when grammar requires it.
我与我周旋久，宁作我	Long have I contended with myself, and still I would rather be myself.	fixed	Recognized Shishuo Xinyu allusion; elevated inversion is local to this quotation.
金鳞化龙动风云	golden scales or carp becoming a dragon and stirring the winds and clouds	image	Preserve the full transformation and weather image chain; verify whether carp is contextually supplied.
君子欺之以方	A gentleman can be deceived by what appears right and proper.	fixed	Recognized Mencius allusion in clear modern English.
不染尘垢	untouched by worldly or red dust	image	Preserve the dust image and choose worldly or red from context.
拨开因果	part karma	image	Keep the physical parting image and inflect the verb.
因果泡影	an illusory bubble within karma	image	Preserve the bubble image; choose the preposition from context.
舍身而取义，是贵义于其身，故曰：万事莫贵于义也。	To give one's life for righteousness is to value righteousness above one's own life. Thus it is said: Of all things, nothing is more valuable than righteousness.	fixed	Exact sword inscription; do not add under the heavens to the Mozi line.
此剑无愧世间有愧人	This Sword Is Blameless Before the World, Though Not Before Men	fixed	Established title and refrain; use sentence case when it appears in running prose.
第1273章 元神祭剑，斩道诛天！	Chapter 1273: Sacrificing a Primordial Spirit to the Sword, Severing the Dao and Slaying Heaven!	fixed	Exact chapter title.
历史回归正朔	return to its rightful historical course	sense	Inflect and supply any conditional framing from context.
兵来将挡，水来土掩	If soldiers come, generals will meet them. If floodwaters come, dam them with earth.	fixed	Complete balanced proverb.
银河落九天	the Milky Way descending from the Ninth Heaven	image	Preserve both classical images and fit the grammar to the sentence.
一展锋芒	reveal one's edge	image	Preserve the sword-edge image and adapt person and tense.
第1275章 恤拯苍生倾赤胆，革易寰宇焕新春！	Chapter 1275: Pouring Out a Crimson Heart to Save All Living Beings, Remaking the Universe to Usher in a Radiant New Spring!	fixed	Exact chapter title.
成道之地	the place where the subject attained the Dao	sense	Variant of 成道地; adapt subject and tense.
管中窥豹	a leopard seen through a narrow tube	image	Preserve the tube, leopard, and partial-view function without duplicating the following hint.
长城	a defensive Great Wall	image	Capitalize only when the cultural image is deliberate.
出震御极仙司辰，天命在躬法自真。	Rising in the East he ascends the throne, an immortal who governs the stars; the Mandate of Heaven rests upon him, and his Law proves true in its own right.	fixed	Source-checked verse line; preserve the Zhen, throne, stars, Mandate, and Law relationships in natural elevated English.
敕神平海妖氛靖，秉剑镇枢魔霭分。	He commands the gods and pacifies the seas, stilling the demonic miasma; sword in hand, he guards the pivot and parts the devilish haze.	fixed	Approved balanced verse line.
劫波铸心铭初誓，尘苦历遍证至人。	The waves of tribulation forge his heart and engrave his first vow; having endured every suffering of the mortal dust, he proves himself a Perfected Person.	fixed	Approved balanced verse line.
恤拯苍生倾赤胆，革易寰宇焕新春！	He pours out his crimson heart to save all living beings; remaking the universe, he ushers in a radiant new spring!	fixed	Approved closing verse line.
第1276章 什么叫光海站起来了？	Chapter 1276: What Do You Mean, the Sea of Light Stood Up?	fixed	Exact chapter title and literal joke.
不知天高	not know how high Heaven is	image	Preserve the source's deliberately clipped Heaven image; do not silently add Earth.
时迁物换，革故鼎新！	Times shift and all things change. Cast off the old and usher in the new!	fixed	Paired classical declaration in clear English.
人力有时穷，难免多变通	human strength has limits, so one must sometimes adapt	sense	Do not import a fixed first-person speaker into the reusable guidance.
因为光海站起来了。	the Sea of Light stand up	image	Preserve the literal closing payoff and choose stood or had stood from the actual chronology.
第1278章 痛打落水狗！	Chapter 1278: Beat the Drowning Dog!	fixed	Exact chapter title.
当世	the present age; the present world	sense	Retain the temporal distinction and choose mortal world only when it does not flatten that emphasis.
一合之敌	withstand or contest a single exchange	sense	Preserve the combat measure; let negation and syntax determine the sentence.
冥冥中	in the unseen; through unseen forces	sense	Do not add a separate world unless the source establishes one.
痛打落水狗	beat a drowning dog	image	Preserve the vulnerable drowning-dog image and adapt article, tense, and syntax.
滚回去！	get the hell back	sense	Preserve contempt at source strength; punctuation and person follow the line.
第1279章 贱妇，看剑！	Chapter 1279: Bitch, Face My Sword!	fixed	Exact chapter title.
打头阵	take the field first; lead the attack; take point	sense	Do not insert Dao Lord unless the sentence supplies it.
名为拳，实为法	a fist in name, a method or spell in essence	sense	Resolve 法 from the cultivation context; preserve the surface-versus-essence contrast.
容纳五大天数	encompass the Five Heavenly Numbers	sense	Preferred cultivation collocation; supply person, tense, and syntax from context.
天塌了有个高的顶着	if the heavens fall, someone taller will hold them up	image	Preserve the taller-person image and adapt mood and tense.
真正的道敌	a true rival in the struggle for the Dao	sense	Do not import the formal chapter title Dao Struggle into ordinary prose.
锦上添花，却不是雪中送炭	adding flowers to brocade, not delivering charcoal in the snow	image	Preserve both linked images and build the local syntax afresh.
狮子搏兔亦用全力	even a lion uses its full strength against a rabbit	image	Preserve the lion, rabbit, and full-strength logic.
雷霆之势	thunderous force or overwhelming speed	sense	Do not add a single blow unless the source supplies it.
道德绑架	use someone's morality or sense of duty against them	sense	Preserve moral coercion; exploited his humanity is too broad.
甘之如饴	accept something as gladly as sweet syrup	image	Preserve the sweetness image and inflect naturally.
听我剑鸣	Listen well to the cry of my sword!	fixed	Elevated challenge supported by the source.
道主之意就是天意	a Dao Lord's will as Heaven's Will	sense	Preserve the equivalence and capitalization; supply the copula and tense from narration or direct-thought context.
斩道，诛天！	Sever the Dao and slay Heaven!	fixed	Exact paired battle cry.
剑光开天	sword light splitting the heavens	image	Preserve the heaven-cleaving image and inflect locally.
贱妇，看剑！	Bitch, face my sword!	fixed	Exact blunt challenge.
第1280章 道争	Chapter 1280: Dao Struggle	fixed	Exact chapter title; ordinary 道争 remains contextual.
万象命运	the fate of all things; the fates of all phenomena	sense	Choose singular or plural from context.
天地八极	the eight poles of the world	image	Preserve the classical cosmological image.
初次伐天	first war or campaign against the Heavens	sense	Preserve 初次 and distinguish descriptive wording from any formal named event.
重新修改回来	reverse the change; change it back	sense	Do not import local objects such as every altered fate.
佛号	Buddhist invocation or chant	sense	Choose by whether the source emphasizes a name, utterance, or sustained chant.
幽冥死气	death qi of the Underworld	sense	Omit redundant wording only when the Underworld context is already explicit.
物性变化	transformations in the nature of things or phenomena	sense	Resolve whether the passage concerns material properties or broad phenomena.
第1282章 无惧一切！	Chapter 1282: Fear Nothing!	fixed	Exact chapter title.
仙枢四狗	the Immortal Pivot's Four Dogs	fixed	Preserve Lü Yang's derogatory group label and the dog image.
圆光	circle of light	sense	Prefer the concrete circular image when the source emphasizes 圆; keep wording consistent across a local image chain.
如脱兔	as swift as a bolting rabbit	image	Preserve the rabbit breaking free and the sudden speed; inflect number and syntax to fit the subject.
大功业	great work; great achievement; great deeds	sense	Choose by register and context; do not capitalize it automatically merely because the Chinese uses brackets.
所谓气数，便是万象万灵对外物，对命运，对世界的影响能力。	Fortune is the power possessed by every phenomenon and living being to influence external things, fate, and the world itself.	fixed	Vast Sky's source definition of Fortune; preserve all three objects of influence.
第1283章 前古	Chapter 1283: The Ancient Past	fixed	Exact chapter title and fixed era label.
修行之法	cultivation method; cultivation methods	sense	Prefer the direct noun phrase over "method of cultivation"; choose number from the local meaning and grammar.
给别人做嫁衣	make or sew a wedding dress for someone else	image	Preserve the wedding-dress image for expending effort only to benefit another person; use a natural dative or for-construction in context.
隔岸观火	watch the fire from across the river	image	Preserve the riverbank and fire image when calculated nonintervention matters.
雄鹰永远无法理解怎么做才能让走兽飞起来	an eagle can never understand how to teach a landbound beast to fly	image	Preserve the eagle, landbound beast, teaching relationship, and contrast between innate ability and acquired cultivation.
拾人牙慧	pick up scraps of wisdom from someone else's mouth	image	Preserve the mouth-and-scraps image in this pointed insult instead of flattening it to imitation.
百花齐放	a hundred flowers bloom	image	Preserve the flowering image for the proliferation of cultivation paths and inflect tense from context.
炼丹，炼器，双修，豢妖四道	the four Daos of Alchemy, Artifact Refinement, Dual Cultivation, and Beast-Taming	fixed	Capitalize the four named Daos in this Ancient Past inheritance context.
拳打初圣，脚踢司祟，走上光海巅峰	thrash the Primordial Saint, kick Si Sui aside, and walk to the summit of the Sea of Light	image	Preserve the comic three-part escalation; person, tense, and aspect follow the direct thought.
第1284章 要不我们打初圣吧？	Chapter 1284: How About We Gang Up on the Primordial Saint?	fixed	Exact comic chapter title; retain the casual coalition proposal.
虎倒威犹在	even a fallen tiger retains its might	image	Preserve the fallen-tiger image and its lingering authority; inflect tense to context.
德不配位，必有灾殃。	When virtue does not match one's position, disaster is sure to follow.	fixed	Recognized maxim; elevated cadence is source-supported, but keep the syntax clear.
来而不往非礼也	It would be discourteous not to return the favor.	fixed	Recognized allusion rendered in direct modern English.
话糙理不糙	the words are crude, but the reasoning behind them is sound	sense	Inflect person and tense to context; preserve the contrast without forcing an image.
双拳难敌四手	two fists are no match for four hands	image	Preserve the fists-and-hands comparison and inflect tense to context.
要不我们一起打初圣吧？	How about we all gang up on the Primordial Saint?	fixed	Exact final proposal and comic payoff; direct address may add Seniors from context.
第1288章 天人之表，元始尊名	Chapter 1288: The Bearing of a Heavenly Being, a Primordial Honorific Name	fixed	Exact chapter title retained when the owner supplied body-only revisions.
天人之表，元始尊名	the bearing of a Heavenly Being and a primordial honorific name	sense	Keep the two parallel attributes. Here 元始 modifies the honorific name; do not invent a separate primordial being as its holder.
以力破巧	use raw stats to overcome mechanics	sense	Use the modern system or matchup register when the surrounding narration supports it; in a genuinely formal martial passage, preserve the brute-force-over-finesse relationship instead of forcing gaming diction.
真守初元一，咸安性命圆，德隆存虚寂，恒信道根源。	Guard the Primordial One in truth; let nature and life alike attain wholeness. Let abundant virtue abide in empty stillness; forever trust the root and source of the Dao.	fixed	Source-bound cultivation verse; preserve the four relationships and intelligible elevated cadence.
谪仙临凡	a banished immortal descending among mortals	image	Preserve the immortal, banishment, and mortal descent; adapt article and syntax to the sentence.
第1290章 各显神通	Chapter 1290: Each Displays Their Divine Abilities	fixed	Explicit owner correction to Divine Abilities; retain the title when the owner supplies only the body.
步法玄妙	subtle footwork	sense	Owner-final Ch.1290: ordinary adjectival finesse, contrasted with manifesting a future in reality; do not invent a named footwork Mystery. Other uses of the cultivation concept 玄妙 remain Mystery or Mysteries.
梦幻泡影	a dream, a bubble, a shadow	image	Owner-final Ch.1290 revises phantom to shadow while preserving the list image; this live owner choice supersedes the older attachment for this expression, not every occurrence of 泡影 or 幻影.
诸法	all dharmas	sense	Owner-final Ch.1290, in the Dharma Extinction Scripture's Buddhist register; do not flatten to all arts here or apply dharmas indiscriminately to 法术, which still denotes spells.
虹霞	rainbow glow	image	Owner-final Ch.1290: preserve the luminous multicolored image with natural articles and prepositions, not a mandatory sentence template.
霞光	rainbow glow	image	Owner-final Ch.1290 continuation of the scripture's light; adapt to the source context and keep the wave or tide image when present.
两两迭加	with the two effects reinforcing each other	sense	Owner-final Ch.1290: make the interaction between the two powers explicit; adapt tense and syntax without inventing another effect.
